,Arrangement,Oppenheimer,Barbie,NoWins,Compromise,TokenLimitExceeded,ConfusedIdentity,Total
0,AA,17,39,225,29,0,9,319
1,AB,31,53,177,36,0,17,314
2,AC,4,16,42,6,0,2,70
3,AD,3,16,45,4,0,0,68
4,AE,6,9,47,7,0,1,70
5,AF,3,8,42,12,0,1,66
6,BA,28,65,180,39,0,3,315
7,BB,20,80,146,29,0,15,290
8,BC,5,15,40,7,0,2,69
9,BD,1,17,43,6,0,1,68
10,BE,2,17,39,9,0,0,67
11,BF,2,17,38,10,1,1,69
12,CA,4,35,63,15,0,2,119
13,CB,6,32,61,13,0,3,115
14,CC,8,28,67,10,0,0,113
15,CD,1,16,35,5,0,0,57
16,CE,2,19,15,3,0,1,40
17,CF,0,8,23,9,0,0,40
18,DA,3,10,26,1,0,1,41
19,DB,5,10,36,5,0,2,58
20,DC,4,6,44,4,0,1,59
21,DD,0,5,52,3,0,1,61
22,DE,4,8,40,5,0,0,57
23,DF,4,5,44,7,0,0,60
24,EA,3,10,27,8,0,0,48
25,EB,9,10,28,11,0,2,60
26,EC,3,14,35,5,0,1,58
27,ED,0,18,44,5,0,2,69
28,EE,2,11,49,4,0,3,69
29,EF,2,15,42,6,0,0,65
30,FA,3,11,43,9,0,1,67
31,FB,1,11,42,15,0,1,70
32,FC,7,14,36,10,0,0,67
33,FD,2,21,29,14,0,0,66
34,FE,2,18,40,7,0,0,67
35,FF,4,16,31,17,0,1,69
